title,icon,time,compatible,evaluate,discount,origin_price,now_price,detailLink
EA SPORTS FC™ 24,https://cdn.cloudflare.steamstatic.com/steam/apps/2195250/capsule_sm_120.jpg?t=1702408161,2023 年 9 月 28 日,"[""win""]",一般,40,469,187,https://store.steampowered.com/app/2195250/EA_SPORTS_FC_24/?snr=1_7_7_2300_150_1
赛博朋克 2077,https://cdn.cloudflare.steamstatic.com/steam/apps/1091500/capsule_sm_120_schinese.jpg?t=1702306332,2020 年 12 月 10 日,"[""win""]",好评,50,399,199,https://store.steampowered.com/app/1091500/_2077/?snr=1_7_7_2300_150_1
Baldur's Gate 3,https://cdn.cloudflare.steamstatic.com/steam/apps/1086940/capsule_sm_120.jpg?t=1703250718,2023 年 8 月 3 日,"[""win"", ""mac""]",好评,90,399,359,https://store.steampowered.com/app/1086940/Baldurs_Gate_3/?snr=1_7_7_2300_150_1
Monster Hunter: World,https://cdn.cloudflare.steamstatic.com/steam/apps/582010/capsule_sm_120.jpg?t=1703266594,2018 年 8 月 10 日,"[""win""]",好评,33,234,77,https://store.steampowered.com/app/582010/Monster_Hunter_World/?snr=1_7_7_2300_150_1
艾尔登法环,https://cdn.cloudflare.steamstatic.com/steam/apps/1245620/capsule_sm_120.jpg?t=1700164457,2022 年 2 月 25 日,"[""win""]",好评,60,479,287,https://store.steampowered.com/app/1245620/_/?snr=1_7_7_2300_150_1
Red Dead Redemption 2,https://cdn.cloudflare.steamstatic.com/steam/apps/1174180/capsule_sm_120.jpg?t=1695140956,2019 年 12 月 6 日,"[""win""]",好评,33,468,154,https://store.steampowered.com/app/1174180/Red_Dead_Redemption_2/?snr=1_7_7_2300_150_1
Monster Hunter World: Iceborne,https://cdn.cloudflare.steamstatic.com/steam/apps/1118010/capsule_sm_120.jpg?t=1702368891,2020 年 1 月 10 日,"[""win""]",一般,37,312,115,https://store.steampowered.com/app/1118010/Monster_Hunter_World_Iceborne/?snr=1_7_7_2300_150_1
Grand Theft Auto V,https://cdn.cloudflare.steamstatic.com/steam/apps/271590/capsule_sm_120.jpg?t=1695060909,2015 年 4 月 14 日,"[""win""]",好评,37,328,122,https://store.steampowered.com/app/271590/Grand_Theft_Auto_V/?snr=1_7_7_2300_150_1
霍格沃茨之遗,https://cdn.cloudflare.steamstatic.com/steam/apps/990080/capsule_sm_120.jpg?t=1699983982,2023 年 2 月 11 日,"[""win""]",好评,50,468,234,https://store.steampowered.com/app/990080/_/?snr=1_7_7_2300_150_1
《赛博朋克 2077：往日之影》,https://cdn.cloudflare.steamstatic.com/steam/apps/2138330/capsule_sm_120_schinese.jpg?t=1701866029,2023 年 9 月 26 日,"[""win""]",好评,85,199,169,https://store.steampowered.com/app/2138330/_2077/?snr=1_7_7_2300_150_1
极限竞速：地平线 5,https://cdn.cloudflare.steamstatic.com/steam/apps/1551360/capsule_sm_120.jpg?t=1702576144,2021 年 11 月 9 日,"[""win""]",好评,50,419,209,https://store.steampowered.com/app/1551360/_5/?snr=1_7_7_2300_150_1
女神异闻录5皇家版,https://cdn.cloudflare.steamstatic.com/steam/apps/1687950/capsule_sm_120.jpg?t=1688115070,2022 年 10 月 21 日,"[""win""]",好评,50,438,219,https://store.steampowered.com/app/1687950/5/?snr=1_7_7_2300_150_1
Resident Evil 4,https://cdn.cloudflare.steamstatic.com/steam/apps/2050650/capsule_sm_120.jpg?t=1701394560,2023 年 3 月 24 日,"[""win""]",好评,50,438,219,https://store.steampowered.com/app/2050650/Resident_Evil_4/?snr=1_7_7_2300_150_1
Sid Meier’s Civilization® VI,https://cdn.cloudflare.steamstatic.com/steam/apps/289070/capsule_sm_120.jpg?t=1680898825,2016 年 10 月 21 日,"[""win"", ""mac"", ""linux""]",好评,10,465,46,https://store.steampowered.com/app/289070/Sid_Meiers_Civilization_VI/?snr=1_7_7_2300_150_1
双人成行,https://cdn.cloudflare.steamstatic.com/steam/apps/1426210/capsule_sm_120.jpg?t=1691006466,2021 年 3 月 26 日,"[""win""]",好评,25,279,69,https://store.steampowered.com/app/1426210/_/?snr=1_7_7_2300_150_1
Hearts of Iron IV,https://cdn.cloudflare.steamstatic.com/steam/apps/394360/capsule_sm_120.jpg?t=1700599414,2016 年 6 月 6 日,"[""win"", ""mac"", ""linux""]",好评,30,268,80,https://store.steampowered.com/app/394360/Hearts_of_Iron_IV/?snr=1_7_7_2300_150_1
《战地风云 5》,https://cdn.cloudflare.steamstatic.com/steam/apps/1238810/capsule_sm_120.jpg?t=1701356409,2020 年 10 月 22 日,"[""win""]",好评,8,349,27,https://store.steampowered.com/app/1238810/_5/?snr=1_7_7_2300_150_1
Tom Clancy's Rainbow Six® Siege,https://cdn.cloudflare.steamstatic.com/steam/apps/359550/capsule_sm_120.jpg?t=1703177325,2015 年 12 月 2 日,"[""win""]",好评,40,145,58,https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege/?snr=1_7_7_2300_150_1
潜水员戴夫 DAVE THE DIVER,https://cdn.cloudflare.steamstatic.com/steam/apps/1868140/capsule_sm_120.jpg?t=1702627876,2023 年 6 月 28 日,"[""win"", ""mac""]",好评,80,125,100,https://store.steampowered.com/app/1868140/_DAVE_THE_DIVER/?snr=1_7_7_2300_150_1
猛兽派对,https://cdn.cloudflare.steamstatic.com/steam/apps/1260320/capsule_sm_120.jpg?t=1701692409,2023 年 9 月 20 日,"[""win""]",好评,70,109,76,https://store.steampowered.com/app/1260320/_/?snr=1_7_7_2300_150_1
黎明杀机,https://cdn.cloudflare.steamstatic.com/steam/apps/381210/capsule_sm_120.jpg?t=1701297215,2016 年 6 月 15 日,"[""win""]",好评,35,95,33,https://store.steampowered.com/app/381210/_/?snr=1_7_7_2300_150_1
Euro Truck Simulator 2,https://cdn.cloudflare.steamstatic.com/steam/apps/227300/capsule_sm_120_alt_assets_2.jpg?t=1702891810,2012 年 10 月 13 日,"[""win"", ""mac"", ""linux""]",好评,25,129,32,https://store.steampowered.com/app/227300/Euro_Truck_Simulator_2/?snr=1_7_7_2300_150_2
Sekiro™: Shadows Die Twice - GOTY Edition,https://cdn.cloudflare.steamstatic.com/steam/apps/814380/capsule_sm_120.jpg?t=1678991267,2019 年 3 月 22 日,"[""win""]",好评,50,398,199,https://store.steampowered.com/app/814380/Sekiro_Shadows_Die_Twice__GOTY_Edition/?snr=1_7_7_2300_150_2
战地风云™ 2042,https://cdn.cloudflare.steamstatic.com/steam/apps/1517290/capsule_sm_120_schinese.jpg?t=1703193378,2021 年 11 月 19 日,"[""win""]",一般,20,399,79,https://store.steampowered.com/app/1517290/_2042/?snr=1_7_7_2300_150_2
遗迹2,https://cdn.cloudflare.steamstatic.com/steam/apps/1282100/capsule_sm_120.jpg?t=1702505861,2023 年 7 月 26 日,"[""win""]",好评,60,350,210,https://store.steampowered.com/app/1282100/2/?snr=1_7_7_2300_150_2
《暗黑破坏神® IV》,https://cdn.cloudflare.steamstatic.com/steam/apps/2344520/capsule_sm_120.jpg?t=1701194709,2023 年 10 月 18 日,"[""win""]",一般,60,549,329,https://store.steampowered.com/app/2344520/_IV/?snr=1_7_7_2300_150_2
Street Fighter 6,https://cdn.cloudflare.steamstatic.com/steam/apps/1364780/capsule_sm_120.jpg?t=1702388165,2023 年 6 月 2 日,"[""win""]",好评,66,458,302,https://store.steampowered.com/app/1364780/Street_Fighter_6/?snr=1_7_7_2300_150_2
